,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,1.549e-10,8.1e-10,0.0,0.0,1.12e-10,4.05e-11,5.2e-11,9.6e-11
1,1.547e-10,8.1e-10,0.0,0.0,1.111e-10,4.061e-11,5.236e-11,9.618e-11
2,1.547e-10,8.1e-10,0.0,0.0,1.102e-10,4.072e-11,5.273e-11,9.637e-11
3,1.548e-10,8.1e-10,0.0,0.0,1.092e-10,4.084e-11,5.313e-11,9.657e-11
4,1.551e-10,8.1e-10,0.0,0.0,1.084e-10,4.097e-11,5.355e-11,9.678e-11
5,1.554e-10,8.1e-10,0.0,0.0,1.077e-10,4.11e-11,5.4e-11,9.7e-11
6,1.559e-10,8.1e-10,0.0,0.0,1.07e-10,4.124e-11,5.448e-11,9.724e-11
7,1.566e-10,8.1e-10,0.0,0.0,1.067e-10,4.139e-11,5.498e-11,9.749e-11
8,1.573e-10,8.1e-10,0.0,0.0,1.064e-10,4.155e-11,5.551e-11,9.775e-11
9,1.582e-10,8.1e-10,0.0,0.0,1.061e-10,4.172e-11,5.607e-11,9.804e-11
10,1.592e-10,8.1e-10,0.0,0.0,1.057e-10,4.19e-11,5.667e-11,9.833e-11
11,1.604e-10,8.1e-10,0.0,0.0,1.054e-10,4.209e-11,5.73e-11,9.865e-11
12,1.616e-10,8.1e-10,0.0,0.0,1.05e-10,4.229e-11,5.797e-11,9.899e-11
13,1.625e-10,8.1e-10,0.0,0.0,1.052e-10,4.236e-11,5.823e-11,9.877e-11
14,1.635e-10,8.1e-10,0.0,0.0,1.055e-10,4.243e-11,5.848e-11,9.852e-11
15,1.646e-10,8.1e-10,0.0,0.0,1.057e-10,4.25e-11,5.874e-11,9.826e-11
16,1.658e-10,8.1e-10,0.0,0.0,1.06e-10,4.258e-11,5.902e-11,9.798e-11
17,1.672e-10,8.1e-10,0.0,0.0,1.063e-10,4.266e-11,5.932e-11,9.768e-11
18,1.687e-10,8.1e-10,0.0,0.0,1.066e-10,4.275e-11,5.964e-11,9.736e-11
19,1.703e-10,8.1e-10,0.0,0.0,1.07e-10,4.284e-11,5.997e-11,9.703e-11
20,1.721e-10,8.1e-10,0.0,0.0,1.078e-10,4.294e-11,6.032e-11,9.668e-11
21,1.74e-10,8.1e-10,0.0,0.0,1.087e-10,4.304e-11,6.07e-11,9.63e-11
22,1.761e-10,8.1e-10,0.0,0.0,1.097e-10,4.315e-11,6.11e-11,9.59e-11
23,1.783e-10,8.1e-10,0.0,0.0,1.108e-10,4.327e-11,6.152e-11,9.548e-11
24,1.807e-10,8.1e-10,0.0,0.0,1.119e-10,4.339e-11,6.196e-11,9.504e-11
25,1.832e-10,8.1e-10,0.0,0.0,1.134e-10,4.343e-11,6.222e-11,9.435e-11
26,1.859e-10,8.1e-10,0.0,0.0,1.15e-10,4.346e-11,6.247e-11,9.36e-11
27,1.887e-10,8.1e-10,0.0,0.0,1.166e-10,4.35e-11,6.273e-11,9.281e-11
