,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,5.812e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
1,5.676e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
2,5.544e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
3,5.416e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
4,5.294e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
5,5.175e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
6,5.061e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
7,4.951e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
8,4.845e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
9,4.743e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
10,4.645e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
11,4.551e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
12,4.461e-07,0.0,0.0,0.0,6.07e-10,0.0,5.35e-10,4.5e-10
13,4.374e-07,0.0,0.0,0.0,6.105e-10,0.0,5.351e-10,4.503e-10
14,4.291e-07,0.0,0.0,0.0,6.144e-10,0.0,5.352e-10,4.507e-10
15,4.212e-07,0.0,0.0,0.0,6.185e-10,0.0,5.354e-10,4.511e-10
16,4.134e-07,0.0,0.0,0.0,6.229e-10,0.0,5.355e-10,4.515e-10
17,4.039e-07,0.0,0.0,0.0,6.275e-10,0.0,5.357e-10,4.52e-10
18,3.948e-07,0.0,0.0,0.0,6.324e-10,0.0,5.358e-10,4.525e-10
19,3.859e-07,0.0,0.0,0.0,6.375e-10,0.0,5.36e-10,4.53e-10
20,3.774e-07,0.0,0.0,0.0,6.43e-10,0.0,5.362e-10,4.535e-10
21,3.692e-07,0.0,0.0,0.0,6.488e-10,0.0,5.363e-10,4.54e-10
22,3.613e-07,0.0,0.0,0.0,6.55e-10,0.0,5.365e-10,4.546e-10
23,3.538e-07,0.0,0.0,0.0,6.615e-10,0.0,5.368e-10,4.553e-10
24,3.465e-07,0.0,0.0,0.0,6.684e-10,0.0,5.37e-10,4.559e-10
25,3.395e-07,0.0,0.0,0.0,6.732e-10,0.0,5.373e-10,4.568e-10
26,3.327e-07,0.0,0.0,0.0,6.781e-10,0.0,5.377e-10,4.576e-10
27,3.263e-07,0.0,0.0,0.0,6.833e-10,0.0,5.381e-10,4.586e-10
28,3.2e-07,0.0,0.0,0.0,6.887e-10,0.0,5.385e-10,4.595e-10
29,3.131e-07,0.0,0.0,0.0,6.945e-10,0.0,5.39e-10,4.606e-10
30,3.064e-07,0.0,0.0,0.0,7.007e-10,0.0,5.394e-10,4.617e-10
31,2.999e-07,0.0,0.0,0.0,7.072e-10,0.0,5.399e-10,4.628e-10
32,2.937e-07,0.0,0.0,0.0,7.125e-10,0.0,5.403e-10,4.639e-10
33,2.877e-07,0.0,0.0,0.0,7.179e-10,0.0,5.407e-10,4.651e-10
34,2.82e-07,0.0,0.0,0.0,7.237e-10,0.0,5.411e-10,4.662e-10
35,2.765e-07,0.0,0.0,0.0,7.297e-10,0.0,5.415e-10,4.675e-10
36,2.704e-07,0.0,0.0,0.0,7.362e-10,0.0,5.419e-10,4.688e-10
37,2.645e-07,0.0,0.0,0.0,7.418e-10,0.0,5.424e-10,4.704e-10
38,2.588e-07,0.0,0.0,0.0,7.475e-10,0.0,5.429e-10,4.722e-10
39,2.533e-07,0.0,0.0,0.0,7.536e-10,0.0,5.434e-10,4.74e-10
40,2.481e-07,0.0,0.0,0.0,7.6e-10,0.0,5.44e-10,4.76e-10
41,2.423e-07,0.0,0.0,0.0,7.659e-10,0.0,5.446e-10,4.781e-10
42,2.367e-07,0.0,0.0,0.0,7.722e-10,0.0,5.452e-10,4.803e-10
43,2.313e-07,0.0,0.0,0.0,7.789e-10,0.0,5.459e-10,4.826e-10
44,2.261e-07,0.0,0.0,0.0,7.85e-10,0.0,5.466e-10,4.848e-10
45,2.211e-07,0.0,0.0,0.0,7.913e-10,0.0,5.473e-10,4.87e-10
46,2.162e-07,0.0,0.0,0.0,7.979e-10,0.0,5.482e-10,4.894e-10
47,2.116e-07,0.0,0.0,0.0,8.042e-10,0.0,5.494e-10,4.924e-10
48,2.071e-07,0.0,0.0,0.0,8.109e-10,0.0,5.508e-10,4.955e-10
49,2.028e-07,0.0,0.0,0.0,8.171e-10,0.0,5.518e-10,4.984e-10
50,1.986e-07,0.0,0.0,0.0,8.236e-10,0.0,5.528e-10,5.013e-10
51,1.947e-07,0.0,0.0,0.0,8.3e-10,0.0,5.538e-10,5.049e-10
52,1.908e-07,0.0,0.0,0.0,8.367e-10,0.0,5.55e-10,5.088e-10
53,1.872e-07,0.0,0.0,0.0,8.426e-10,0.0,5.562e-10,5.127e-10
54,1.837e-07,0.0,0.0,0.0,8.487e-10,0.0,5.576e-10,5.169e-10
55,1.803e-07,0.0,0.0,0.0,8.552e-10,0.0,5.591e-10,5.213e-10
