,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,3.776e-07,1.146e-13,0.0,0.0,0.0,0.0,0.0,0.0
1,3.668e-07,1.214e-13,0.0,0.0,0.0,0.0,0.0,0.0
2,3.564e-07,1.286e-13,0.0,0.0,0.0,0.0,0.0,0.0
3,3.463e-07,1.362e-13,0.0,0.0,0.0,0.0,0.0,0.0
4,3.364e-07,1.443e-13,0.0,0.0,0.0,0.0,0.0,0.0
5,3.269e-07,1.528e-13,0.0,0.0,0.0,0.0,0.0,0.0
6,3.176e-07,1.619e-13,0.0,0.0,0.0,0.0,0.0,0.0
7,3.085e-07,1.715e-13,0.0,0.0,0.0,0.0,0.0,0.0
8,2.998e-07,1.816e-13,0.0,0.0,0.0,0.0,0.0,0.0
9,2.912e-07,1.924e-13,0.0,0.0,0.0,0.0,0.0,0.0
10,2.83e-07,2.038e-13,0.0,0.0,0.0,0.0,0.0,0.0
11,2.749e-07,2.159e-13,0.0,0.0,0.0,0.0,0.0,0.0
12,2.671e-07,2.287e-13,0.0,0.0,0.0,0.0,0.0,0.0
13,2.595e-07,2.422e-13,0.0,0.0,0.0,0.0,0.0,0.0
14,2.521e-07,2.566e-13,0.0,0.0,0.0,0.0,0.0,0.0
15,2.449e-07,2.717e-13,0.0,0.0,0.0,0.0,0.0,0.0
16,2.379e-07,2.878e-13,0.0,0.0,0.0,0.0,0.0,0.0
17,2.312e-07,3.049e-13,0.0,0.0,0.0,0.0,0.0,0.0
18,2.246e-07,3.23e-13,0.0,0.0,0.0,0.0,0.0,0.0
19,2.182e-07,3.421e-13,0.0,0.0,0.0,0.0,0.0,0.0
20,2.12e-07,3.623e-13,0.0,0.0,0.0,0.0,0.0,0.0
21,2.059e-07,3.838e-13,0.0,0.0,0.0,0.0,0.0,0.0
22,2e-07,4.065e-13,0.0,0.0,0.0,0.0,0.0,0.0
23,1.943e-07,4.306e-13,0.0,0.0,0.0,0.0,0.0,0.0
24,1.888e-07,4.561e-13,0.0,0.0,0.0,0.0,0.0,0.0
25,1.834e-07,4.831e-13,0.0,0.0,0.0,0.0,0.0,0.0
26,1.782e-07,5.117e-13,0.0,0.0,0.0,0.0,0.0,0.0
27,1.731e-07,5.42e-13,0.0,0.0,0.0,0.0,0.0,0.0
28,1.681e-07,5.741e-13,0.0,0.0,0.0,0.0,0.0,0.0
29,1.633e-07,6.081e-13,0.0,0.0,0.0,0.0,0.0,0.0
30,1.587e-07,6.442e-13,0.0,0.0,0.0,0.0,0.0,0.0
31,1.541e-07,6.823e-13,0.0,0.0,0.0,0.0,0.0,0.0
32,1.497e-07,7.227e-13,0.0,0.0,0.0,0.0,0.0,0.0
33,1.454e-07,7.655e-13,0.0,0.0,0.0,0.0,0.0,0.0
34,1.412e-07,8.108e-13,0.0,0.0,0.0,0.0,0.0,0.0
35,1.372e-07,8.588e-13,0.0,0.0,0.0,0.0,0.0,0.0
36,1.333e-07,9.096e-13,0.0,0.0,0.0,0.0,0.0,0.0
37,1.294e-07,9.635e-13,0.0,0.0,0.0,0.0,0.0,0.0
38,1.257e-07,1.02e-12,0.0,0.0,0.0,0.0,0.0,0.0
39,1.221e-07,1.081e-12,0.0,0.0,0.0,0.0,0.0,0.0
40,1.186e-07,1.145e-12,0.0,0.0,0.0,0.0,0.0,0.0
41,1.152e-07,1.213e-12,0.0,0.0,0.0,0.0,0.0,0.0
42,1.118e-07,1.284e-12,0.0,0.0,0.0,0.0,0.0,0.0
43,1.086e-07,1.36e-12,0.0,0.0,0.0,0.0,0.0,0.0
44,1.055e-07,1.441e-12,0.0,0.0,0.0,0.0,0.0,0.0
45,1.024e-07,1.526e-12,0.0,0.0,0.0,0.0,0.0,0.0
46,9.947e-08,1.616e-12,0.0,0.0,0.0,0.0,0.0,0.0
47,9.658e-08,1.712e-12,0.0,0.0,0.0,0.0,0.0,0.0
48,9.378e-08,1.813e-12,0.0,0.0,0.0,0.0,0.0,0.0
49,9.106e-08,1.92e-12,0.0,0.0,0.0,0.0,0.0,0.0
50,8.841e-08,2.034e-12,0.0,0.0,0.0,0.0,0.0,0.0
51,8.583e-08,2.154e-12,0.0,0.0,0.0,0.0,0.0,0.0
52,8.333e-08,2.281e-12,0.0,0.0,0.0,0.0,0.0,0.0
53,8.089e-08,2.416e-12,0.0,0.0,0.0,0.0,0.0,0.0
54,7.852e-08,2.559e-12,0.0,0.0,0.0,0.0,0.0,0.0
55,7.622e-08,2.71e-12,0.0,0.0,0.0,0.0,0.0,0.0
56,7.398e-08,2.87e-12,0.0,0.0,0.0,0.0,0.0,0.0
57,7.181e-08,3.04e-12,0.0,0.0,0.0,0.0,0.0,0.0
58,6.969e-08,3.219e-12,0.0,0.0,0.0,0.0,0.0,0.0
59,6.763e-08,3.409e-12,0.0,0.0,0.0,0.0,0.0,0.0
60,6.563e-08,3.61e-12,0.0,0.0,0.0,0.0,0.0,0.0
61,6.368e-08,3.823e-12,0.0,0.0,0.0,0.0,0.0,0.0
62,6.178e-08,4.049e-12,0.0,0.0,0.0,0.0,0.0,0.0
63,5.994e-08,4.288e-12,0.0,0.0,0.0,0.0,0.0,0.0
