,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,4.093e-07,0.0,0.0,0.0,3.08e-10,0.0,0.0,0.0
1,3.977e-07,0.0,0.0,0.0,3.077e-10,0.0,0.0,0.0
2,3.864e-07,0.0,0.0,0.0,3.073e-10,0.0,0.0,0.0
3,3.755e-07,0.0,0.0,0.0,3.069e-10,0.0,0.0,0.0
4,3.648e-07,0.0,0.0,0.0,3.065e-10,0.0,0.0,0.0
5,3.545e-07,0.0,0.0,0.0,3.061e-10,0.0,0.0,0.0
6,3.444e-07,0.0,0.0,0.0,3.057e-10,0.0,0.0,0.0
7,3.346e-07,0.0,0.0,0.0,3.052e-10,0.0,0.0,0.0
8,3.251e-07,0.0,0.0,0.0,3.047e-10,0.0,0.0,0.0
9,3.159e-07,0.0,0.0,0.0,3.042e-10,0.0,0.0,0.0
10,3.069e-07,0.0,0.0,0.0,3.036e-10,0.0,0.0,0.0
11,2.982e-07,0.0,0.0,0.0,3.03e-10,0.0,0.0,0.0
12,2.898e-07,0.0,0.0,0.0,3.024e-10,0.0,0.0,0.0
13,2.816e-07,0.0,0.0,0.0,3.017e-10,0.0,0.0,0.0
14,2.736e-07,0.0,0.0,0.0,3.01e-10,0.0,0.0,0.0
15,2.658e-07,0.0,0.0,0.0,3.002e-10,0.0,0.0,0.0
16,2.583e-07,0.0,0.0,0.0,2.994e-10,0.0,0.0,0.0
17,2.509e-07,0.0,0.0,0.0,2.986e-10,0.0,0.0,0.0
18,2.438e-07,0.0,0.0,0.0,2.977e-10,0.0,0.0,0.0
19,2.369e-07,0.0,0.0,0.0,2.967e-10,0.0,0.0,0.0
20,2.302e-07,0.0,0.0,0.0,2.957e-10,0.0,0.0,0.0
21,2.236e-07,0.0,0.0,0.0,2.947e-10,0.0,0.0,0.0
22,2.173e-07,0.0,0.0,0.0,2.936e-10,0.0,0.0,0.0
23,2.111e-07,0.0,0.0,0.0,2.924e-10,0.0,0.0,0.0
24,2.051e-07,0.0,0.0,0.0,2.911e-10,0.0,0.0,0.0
25,1.993e-07,0.0,0.0,0.0,2.903e-10,0.0,0.0,0.0
26,1.937e-07,0.0,0.0,0.0,2.896e-10,0.0,0.0,0.0
27,1.882e-07,0.0,0.0,0.0,2.888e-10,0.0,0.0,0.0
28,1.828e-07,0.0,0.0,0.0,2.88e-10,0.0,0.0,0.0
29,1.776e-07,0.0,0.0,0.0,2.871e-10,0.0,0.0,0.0
30,1.726e-07,0.0,0.0,0.0,2.861e-10,0.0,0.0,0.0
31,1.677e-07,0.0,0.0,0.0,2.851e-10,0.0,0.0,0.0
32,1.63e-07,0.0,0.0,0.0,2.841e-10,0.0,0.0,0.0
33,1.583e-07,0.0,0.0,0.0,2.829e-10,0.0,0.0,0.0
34,1.538e-07,0.0,0.0,0.0,2.819e-10,0.0,0.0,0.0
35,1.495e-07,0.0,0.0,0.0,2.812e-10,0.0,0.0,0.0
36,1.452e-07,0.0,0.0,0.0,2.804e-10,0.0,0.0,0.0
37,1.411e-07,0.0,0.0,0.0,2.796e-10,0.0,0.0,0.0
38,1.371e-07,0.0,0.0,0.0,2.788e-10,0.0,0.0,0.0
39,1.332e-07,0.0,0.0,0.0,2.779e-10,0.0,0.0,0.0
40,1.294e-07,0.0,0.0,0.0,2.77e-10,0.0,0.0,0.0
41,1.258e-07,0.0,0.0,0.0,2.771e-10,0.0,0.0,0.0
42,1.223e-07,0.0,0.0,0.0,2.772e-10,0.0,0.0,0.0
43,1.189e-07,0.0,0.0,0.0,2.774e-10,0.0,0.0,0.0
44,1.156e-07,0.0,0.0,0.0,2.775e-10,0.0,0.0,0.0
45,1.123e-07,0.0,0.0,0.0,2.777e-10,0.0,0.0,0.0
46,1.092e-07,0.0,0.0,0.0,2.778e-10,0.0,0.0,0.0
47,1.062e-07,0.0,0.0,0.0,2.78e-10,0.0,0.0,0.0
48,1.032e-07,0.0,0.0,0.0,2.782e-10,0.0,0.0,0.0
49,1.002e-07,0.0,0.0,0.0,2.784e-10,0.0,0.0,0.0
50,9.739e-08,0.0,0.0,0.0,2.786e-10,0.0,0.0,0.0
51,9.462e-08,0.0,0.0,0.0,2.788e-10,0.0,0.0,0.0
52,9.194e-08,0.0,0.0,0.0,2.79e-10,0.0,0.0,0.0
53,8.933e-08,0.0,0.0,0.0,2.792e-10,0.0,0.0,0.0
54,8.68e-08,0.0,0.0,0.0,2.795e-10,0.0,0.0,0.0
55,8.433e-08,0.0,0.0,0.0,2.797e-10,0.0,0.0,0.0
56,8.194e-08,0.0,0.0,0.0,2.8e-10,0.0,0.0,0.0
57,7.962e-08,0.0,0.0,0.0,2.803e-10,0.0,0.0,0.0
58,7.736e-08,0.0,0.0,0.0,2.806e-10,0.0,0.0,0.0
59,7.516e-08,0.0,0.0,0.0,2.81e-10,0.0,0.0,0.0
60,7.303e-08,0.0,0.0,0.0,2.829e-10,0.0,0.0,0.0
61,7.096e-08,0.0,0.0,0.0,2.852e-10,0.0,0.0,0.0
62,6.895e-08,0.0,0.0,0.0,2.876e-10,0.0,0.0,0.0
63,6.699e-08,0.0,0.0,0.0,2.901e-10,0.0,0.0,0.0
64,6.509e-08,0.0,0.0,0.0,2.928e-10,0.0,0.0,0.0
65,6.324e-08,0.0,0.0,0.0,2.956e-10,0.0,0.0,0.0
66,6.145e-08,0.0,0.0,0.0,2.986e-10,0.0,0.0,0.0
67,5.97e-08,0.0,0.0,0.0,3.018e-10,0.0,0.0,0.0
68,5.801e-08,0.0,0.0,0.0,3.051e-10,0.0,0.0,0.0
69,5.636e-08,0.0,0.0,0.0,3.087e-10,0.0,0.0,0.0
70,5.477e-08,0.0,0.0,0.0,3.125e-10,0.0,0.0,0.0
71,5.321e-08,0.0,0.0,0.0,3.165e-10,0.0,0.0,0.0
72,5.174e-08,0.0,0.0,0.0,3.21e-10,0.0,0.0,0.0
73,5.031e-08,0.0,0.0,0.0,3.259e-10,0.0,0.0,0.0
