,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,7.477e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
1,7.265e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
2,7.059e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
3,6.858e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
4,6.664e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
5,6.475e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
6,6.291e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
7,6.112e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
8,5.939e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
9,5.771e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
10,5.607e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
11,5.448e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
12,5.293e-13,1.6e-10,0.0,0.0,1.8e-10,1.44e-12,9e-13,4e-13
13,5.143e-13,1.6e-10,0.0,0.0,1.823e-10,1.44e-12,9.454e-13,4.227e-13
14,4.997e-13,1.6e-10,0.0,0.0,1.848e-10,1.44e-12,9.955e-13,4.477e-13
15,4.855e-13,1.6e-10,0.0,0.0,1.874e-10,1.44e-12,1.049e-12,4.743e-13
16,4.718e-13,1.6e-10,0.0,0.0,1.902e-10,1.44e-12,1.105e-12,5.024e-13
17,4.584e-13,1.6e-10,0.0,0.0,1.932e-10,1.44e-12,1.164e-12,5.321e-13
18,4.454e-13,1.6e-10,0.0,0.0,1.964e-10,1.44e-12,1.227e-12,5.637e-13
19,4.327e-13,1.6e-10,0.0,0.0,1.997e-10,1.44e-12,1.294e-12,5.971e-13
20,4.205e-13,1.6e-10,0.0,0.0,2.032e-10,1.44e-12,1.365e-12,6.325e-13
21,4.085e-13,1.6e-10,0.0,0.0,2.07e-10,1.44e-12,1.44e-12,6.699e-13
22,3.969e-13,1.6e-10,0.0,0.0,2.11e-10,1.44e-12,1.519e-12,7.096e-13
23,3.857e-13,1.6e-10,0.0,0.0,2.152e-10,1.44e-12,1.603e-12,7.517e-13
24,3.747e-13,1.6e-10,0.0,0.0,2.196e-10,1.44e-12,1.692e-12,7.962e-13
25,3.641e-13,1.642e-10,0.0,0.0,2.243e-10,1.44e-12,1.733e-12,8.434e-13
26,3.538e-13,1.691e-10,0.0,0.0,2.293e-10,1.44e-12,1.77e-12,8.934e-13
27,3.437e-13,1.742e-10,0.0,0.0,2.346e-10,1.44e-12,1.81e-12,9.463e-13
28,3.358e-13,1.797e-10,0.0,0.0,2.405e-10,1.44e-12,1.852e-12,1.002e-12
29,3.697e-13,1.854e-10,0.0,0.0,2.539e-10,1.44e-12,1.896e-12,1.062e-12
30,4.04e-13,1.915e-10,0.0,0.0,2.681e-10,1.44e-12,1.944e-12,1.125e-12
31,4.385e-13,1.98e-10,0.0,0.0,2.83e-10,1.44e-12,1.993e-12,1.191e-12
32,4.735e-13,2.049e-10,0.0,0.0,2.989e-10,1.44e-12,2.077e-12,1.262e-12
33,5.088e-13,2.121e-10,0.0,0.0,3.158e-10,1.44e-12,2.171e-12,1.337e-12
34,5.446e-13,2.198e-10,0.0,0.0,3.329e-10,1.44e-12,2.27e-12,1.416e-12
35,5.808e-13,2.28e-10,0.0,0.0,3.483e-10,1.44e-12,2.375e-12,1.5e-12
36,6.175e-13,2.349e-10,0.0,0.0,3.646e-10,1.44e-12,2.486e-12,1.589e-12
37,6.547e-13,2.423e-10,0.0,0.0,3.818e-10,1.44e-12,2.603e-12,1.703e-12
38,6.925e-13,2.5e-10,0.0,0.0,4.001e-10,1.44e-12,2.728e-12,1.828e-12
39,7.308e-13,2.583e-10,0.0,0.0,4.195e-10,1.44e-12,2.86e-12,1.96e-12
40,7.697e-13,2.67e-10,0.0,0.0,4.4e-10,1.44e-12,3e-12,2.1e-12
41,8.417e-13,2.741e-10,0.0,0.0,4.566e-10,1.627e-12,3.178e-12,2.248e-12
42,9.143e-13,2.816e-10,0.0,0.0,4.742e-10,1.826e-12,3.366e-12,2.405e-12
43,9.877e-13,2.896e-10,0.0,0.0,4.928e-10,2.036e-12,3.566e-12,2.571e-12
44,1.062e-12,2.981e-10,0.0,0.0,5.125e-10,2.258e-12,3.806e-12,2.777e-12
45,1.137e-12,3.07e-10,0.0,0.0,5.334e-10,2.494e-12,4.067e-12,3.001e-12
46,1.213e-12,3.165e-10,0.0,0.0,5.555e-10,2.744e-12,4.344e-12,3.238e-12
47,1.29e-12,3.265e-10,0.0,0.0,5.789e-10,3.008e-12,4.637e-12,3.489e-12
48,1.368e-12,3.372e-10,0.0,0.0,5.97e-10,3.288e-12,4.947e-12,3.755e-12
49,1.448e-12,3.485e-10,0.0,0.0,6.158e-10,3.585e-12,5.315e-12,4.076e-12
50,1.528e-12,3.604e-10,0.0,0.0,6.357e-10,3.899e-12,5.713e-12,4.424e-12
51,1.61e-12,3.73e-10,0.0,0.0,6.567e-10,4.232e-12,6.135e-12,4.793e-12
52,1.693e-12,3.864e-10,0.0,0.0,6.791e-10,4.585e-12,6.581e-12,5.183e-12
53,1.823e-12,4.006e-10,0.0,0.0,6.982e-10,5.048e-12,7.077e-12,5.631e-12
54,1.958e-12,4.156e-10,0.0,0.0,7.182e-10,5.543e-12,7.603e-12,6.107e-12
55,2.093e-12,4.316e-10,0.0,0.0,7.394e-10,6.067e-12,8.16e-12,6.611e-12
56,2.231e-12,4.48e-10,0.0,0.0,7.614e-10,6.622e-12,8.755e-12,7.145e-12
57,2.37e-12,4.606e-10,0.0,0.0,7.793e-10,7.21e-12,9.439e-12,7.711e-12
58,2.511e-12,4.74e-10,0.0,0.0,7.982e-10,7.833e-12,1.016e-11,8.31e-12
59,2.655e-12,4.882e-10,0.0,0.0,8.182e-10,8.492e-12,1.093e-11,8.944e-12
60,2.8e-12,5.032e-10,0.0,0.0,8.362e-10,9.24e-12,1.181e-11,9.682e-12
61,2.948e-12,5.191e-10,0.0,0.0,8.55e-10,1.004e-11,1.275e-11,1.047e-11
62,3.099e-12,5.359e-10,0.0,0.0,8.739e-10,1.088e-11,1.373e-11,1.129e-11
63,3.251e-12,5.537e-10,0.0,0.0,8.907e-10,1.177e-11,1.474e-11,1.213e-11
64,3.407e-12,5.726e-10,0.0,0.0,9.085e-10,1.272e-11,1.581e-11,1.302e-11
65,3.565e-12,5.926e-10,0.0,0.0,9.23e-10,1.373e-11,1.703e-11,1.401e-11
66,3.727e-12,6.138e-10,0.0,0.0,9.38e-10,1.481e-11,1.833e-11,1.506e-11
67,3.891e-12,6.362e-10,0.0,0.0,9.493e-10,1.595e-11,1.966e-11,1.617e-11
68,4.059e-12,6.598e-10,0.0,0.0,9.605e-10,1.715e-11,2.106e-11,1.735e-11
69,4.24e-12,6.798e-10,0.0,0.0,9.724e-10,1.846e-11,2.251e-11,1.857e-11
70,4.424e-12,7.009e-10,0.0,0.0,9.849e-10,1.984e-11,2.405e-11,1.986e-11
71,4.612e-12,7.233e-10,0.0,0.0,9.983e-10,2.131e-11,2.569e-11,2.122e-11
72,4.804e-12,7.47e-10,0.0,0.0,1e-09,2.286e-11,2.736e-11,2.261e-11
