,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,3.568e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
1,3.467e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
2,3.368e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
3,3.273e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
4,3.18e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
5,3.09e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
6,3.002e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
7,2.917e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
8,2.834e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
9,2.754e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
10,2.676e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
11,2.6e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
12,2.526e-06,0.0,0.0,0.0,4.52e-10,0.0,0.0,0.0
13,2.454e-06,0.0,0.0,0.0,4.538e-10,0.0,0.0,0.0
14,2.385e-06,0.0,0.0,0.0,4.557e-10,0.0,0.0,0.0
15,2.317e-06,0.0,0.0,0.0,4.578e-10,0.0,0.0,0.0
16,2.251e-06,0.0,0.0,0.0,4.599e-10,0.0,0.0,0.0
17,2.187e-06,0.0,0.0,0.0,4.622e-10,0.0,0.0,0.0
18,2.125e-06,0.0,0.0,0.0,4.647e-10,0.0,0.0,0.0
19,2.065e-06,0.0,0.0,0.0,4.673e-10,0.0,0.0,0.0
20,2.006e-06,0.0,0.0,0.0,4.7e-10,0.0,0.0,0.0
21,1.949e-06,0.0,0.0,0.0,4.729e-10,0.0,0.0,0.0
22,1.894e-06,0.0,0.0,0.0,4.76e-10,0.0,0.0,0.0
23,1.84e-06,0.0,0.0,0.0,4.793e-10,0.0,0.0,0.0
24,1.788e-06,0.0,0.0,0.0,4.827e-10,0.0,0.0,0.0
25,1.737e-06,0.0,0.0,0.0,4.853e-10,0.0,0.0,0.0
26,1.688e-06,0.0,0.0,0.0,4.879e-10,0.0,0.0,0.0
27,1.64e-06,0.0,0.0,0.0,4.907e-10,0.0,0.0,0.0
28,1.594e-06,0.0,0.0,0.0,4.936e-10,0.0,0.0,0.0
29,1.548e-06,0.0,0.0,0.0,4.967e-10,0.0,0.0,0.0
30,1.505e-06,0.0,0.0,0.0,5e-10,0.0,0.0,0.0
31,1.462e-06,0.0,0.0,0.0,5.035e-10,0.0,0.0,0.0
32,1.42e-06,0.0,0.0,0.0,5.068e-10,0.0,0.0,0.0
33,1.38e-06,0.0,0.0,0.0,5.102e-10,0.0,0.0,0.0
34,1.341e-06,0.0,0.0,0.0,5.137e-10,0.0,0.0,0.0
35,1.303e-06,0.0,0.0,0.0,5.175e-10,0.0,0.0,0.0
36,1.266e-06,0.0,0.0,0.0,5.215e-10,0.0,0.0,0.0
37,1.23e-06,0.0,0.0,0.0,5.255e-10,0.0,0.0,0.0
38,1.195e-06,0.0,0.0,0.0,5.298e-10,0.0,0.0,0.0
39,1.161e-06,0.0,0.0,0.0,5.342e-10,0.0,0.0,0.0
40,1.128e-06,0.0,0.0,0.0,5.39e-10,0.0,0.0,0.0
41,1.096e-06,0.0,0.0,0.0,5.437e-10,0.0,0.0,0.0
42,1.065e-06,0.0,0.0,0.0,5.488e-10,0.0,0.0,0.0
43,1.035e-06,0.0,0.0,0.0,5.541e-10,0.0,0.0,0.0
44,1.006e-06,0.0,0.0,0.0,5.594e-10,0.0,0.0,0.0
45,9.77e-07,0.0,0.0,0.0,5.65e-10,0.0,0.0,0.0
